,Frequency
usa,1928
jaderne,1925
rusko,1307
jadernych,1038
let,973
jadernou,889
lidi,826
podle,825
takze,814
dnes,791
ruska,771
elektrarny,753
putin,717
rt,699
nikdo,682
nato,639
vice,636
zemi,604
zbrane,595
stejne,585
rusku,569
kdyby,551
nema,547
nebude,543
ci,538
eu,535
zeme,526
dobre,517
jaderna,516
nove,511
jaderny,504
no,496
ruske,495
energie,475
evrope,470
stat,468
prave,467
cr,452
pripade,449
zase,447
stale,444
vsechny,440
nikdy,437
pouze,435
roku,432
meli,430
vic,426
lide,424
navic,415
prvni,412
svete,408
bloku,407
par,406
veci,404
kazdy,404
opravdu,403
roce,398
elektraren,388
cele,387
dobe,386
zbrani,384
valky,384
vse,380
samozrejme,379
rakety,378
statu,375
valka,373
uplne,365
problem,364
zde,361
zeman,354
velmi,352
rusove,349
raket,348
uzemi,345
vsech,343
valku,336
jasne,335
jaderneho,334
clovek,333
ruskem,323
nevim,315
statni,314
prezident,313
smlouvy,311
zcela,310
nejsou,310
dokonce,310
nejaky,309
teto,308
at,307
sam,301
vetsi,300
vlastni,297
svou,295
diky,294
sice,294
kterou,291
takove,289
mozne,288
myslim,286
ovsem,282
nyni,277
drabova,273
vsak,273
tento,271
dost,269
jine,266
elektriny,265
nejake,265
rekl,265
ni,264
zivot,264
delat,264
evropy,262
hlavne,261
nejen,261
zda,260
fakt,260
zadne,258
re,257
sssr,257
kolem,255
misto,253
svet,253
presne,253
pry,252
sveho,251
opet,251
oblasti,248
tyto,247
sveta,247
lepsi,247
rika,246
dalsich,246
da,244
nejvetsi,243
totiz,242
novych,239
doletu,239
strany,239
zdroje,238
valce,238
prece,238
sebe,237
prezidenta,236
vlada,235
rok,235
pan,234
americke,233
utok,233
mela,232
nekdy,232
miliard,230
letech,230
prace,230
velke,230
svych,229
pomoci,228
posledni,226
atd,226
skutecne,225
cas,225
predevsim,224
jineho,224
penize,223
staty,222
jenze,222
nemuze,221
takovy,220
svuj,220
naopak,220
staci,219
ceske,218
uhli,217
praci,214
melo,213
ostatni,213
cca,212
stredniho,211
rozdil,210
doslo,209
jadro,208
informace,208
