,word_text,word_count_zminka,word_count_zminka_rel,word_count_zminka_nerel,word_zminka_rank,word_zminka_rank_rel,word_zminka_rank_nerel
0,jaderne,1759,1651,108,1,1,6
1,jadernych,938,900,38,2,2,167
2,jadernou,850,807,43,3,3,128
3,usa,793,717,76,4,4,21
4,let,714,612,102,5,7,8
5,rt,698,657,41,6,5,141
6,elektrarny,667,647,20,7,6,575
7,rusko,664,607,57,8,8,62
8,takze,570,438,132,9,12,1
9,podle,561,444,117,10,11,3
10,dnes,501,412,89,11,15,14
11,jaderna,494,459,35,12,10,198
12,zbrane,492,478,14,13,9,1009
13,putin,488,438,50,14,12,88
14,jaderny,475,416,59,15,14,56
15,nema,469,377,92,16,16,13
16,kdyby,440,335,105,17,22,7
17,ruska,440,369,71,17,17,27
18,lidi,415,300,115,19,32,4
19,stejne,413,312,101,20,28,9
20,no,410,279,131,21,37,2
21,nebude,407,332,75,22,23,23
22,ci,407,337,70,22,21,29
23,nikdo,399,306,93,24,30,11
24,nove,392,326,66,25,24,39
25,vice,390,319,71,26,25,27
26,rusku,389,351,38,27,18,167
27,evrope,386,351,35,28,18,198
28,zemi,386,316,70,28,26,29
29,dobre,372,260,112,30,42,5
30,stat,358,304,54,31,31,71
31,bloku,354,340,14,32,20,1009
32,pripade,351,283,68,33,36,35
33,zase,348,249,99,34,47,10
34,roku,338,296,42,35,33,134
35,cr,337,278,59,36,38,56
36,stale,337,272,65,36,41,41
37,energie,334,308,26,38,29,356
38,vsechny,332,274,58,39,40,59
39,zeme,326,278,48,40,38,98
40,veci,322,260,62,41,42,48
41,elektraren,321,313,8,42,27,2605
42,navic,318,252,66,43,46,39
43,prvni,312,237,75,44,53,23
44,zbrani,311,284,27,45,35,329
45,jaderneho,310,294,16,46,34,819
46,opravdu,310,229,81,46,61,17
47,prave,307,240,67,48,49,37
48,pouze,307,239,68,48,51,35
49,vic,305,233,72,50,57,26
50,par,303,234,69,51,55,32
51,nato,302,256,46,52,44,109
52,nikdy,300,221,79,53,70,19
53,eu,299,248,51,54,48,83
54,meli,295,231,64,55,59,43
55,dobe,288,239,49,56,51,93
56,vse,286,234,52,57,55,78
