,domain,domain_count,domain_count_rel,domain_count_nerel
0,www.facebook.com,1852,1353,499
1,echo24.cz,1718,219,1499
2,twitter.com,1504,1384,120
3,www.idnes.cz,402,365,37
4,oenergetice.cz,382,281,101
5,www.novinky.cz,318,303,15
6,www.parlamentnilisty.cz,244,142,102
7,www.lidovky.cz,222,81,141
8,www.youtube.com,161,120,41
9,blog.aktualne.cz,150,56,94
10,vk.com,112,84,28
11,neviditelnypes.lidovky.cz,109,100,9
12,www.novarepublika.cz,99,86,13
13,www.armadninoviny.cz,90,81,9
14,eurozpravy.cz,88,83,5
15,pravyprostor.cz,86,62,24
16,www.blesk.cz,71,21,50
17,www.diskutnici.cz,59,43,16
18,www.hybrid.cz,58,53,5
19,www.instagram.com,53,36,17
20,www.denik.cz,51,45,6
21,plus.google.com,51,42,9
22,www.okoun.cz,50,41,9
23,www.patria.cz,39,27,12
24,www.euro.cz,32,25,7
25,www.bike-forum.cz,28,12,16
26,janica9.wordpress.com,27,19,8
27,m.clanky.kecteni.cz,23,23,0
28,debata.pravda.sk,23,23,0
29,zpravy.aktualne.cz,23,23,0
30,www.modrastrecha.cz,23,22,1
31,www.emimino.cz,22,19,3
32,ekolist.cz,20,15,5
33,www.rouming.cz,19,11,8
34,www.osel.cz,19,10,9
35,www.kurzy.cz,19,18,1
36,aeronet.cz,17,9,8
37,videacesky.cz,17,15,2
38,www.nyx.cz,16,14,2
39,www.gastrovylety.cz,15,0,15
40,www.mrk.cz,15,15,0
41,www.e15.cz,14,10,4
42,www.info-morava.cz,13,10,3
43,www.diskusneforum.sk,13,13,0
44,oficialnistranky.cz,13,13,0
45,garaz.autorevue.cz,13,6,7
46,www.auto.cz,13,12,1
47,zdopravy.cz,12,6,6
48,extrastory.cz,12,12,0
49,www.tyden.cz,12,11,1
50,www.root.cz,11,10,1
51,cdr.cz,11,7,4
52,www.abclinuxu.cz,11,11,0
53,diskuse.tiscali.cz,11,6,5
54,www.stream.cz,11,10,1
55,cz.sputniknews.com,10,4,6
56,www.odpovedi.cz,10,9,1
57,www.motorkari.cz,10,7,3
58,globe24.cz,9,9,0
59,www.zvedavec.org,9,8,1
60,vasevec.parlamentnilisty.cz,9,2,7
61,www.csfd.cz,9,8,1
62,www.zahrada.cz,8,0,8
63,www.halonoviny.cz,8,6,2
64,diit.cz,8,3,5
65,www.autickar.cz,7,7,0
66,blisty.cz,7,5,2
67,www.rukojmi.cz,6,3,3
68,tiskovky.eu,6,6,0
69,www.vidlakovykydy.cz,6,6,0
70,www.politicky.cz,5,4,1
71,forum.matematika.cz,5,5,0
72,www.vinted.cz,5,2,3
73,www.offroadforum.cz,5,4,1
74,www.cbdb.cz,5,2,3
75,sumavak.blokuje.cz,5,5,0
76,www.databazeknih.cz,5,3,2
77,skoda-virt.cz,4,4,0
