,keyword,keyword_count,keyword_count_rel,keyword_count_nerel
0,jaderne,4437,2455,1982
1,elektrarny,2879,1172,1707
2,dukovany,2317,696,1621
3,jaderna,2214,772,1442
4,jadernych,1953,1504,449
5,jadernou,1830,1413,417
6,elektrarna,1629,276,1353
7,jaderneho,1044,819,225
8,jaderny,907,683,224
9,dukovan,818,485,333
10,dukovanech,643,366,277
11,temelin,624,358,266
12,pro,541,308,233
13,bezpecnost,541,308,233
14,elektrarne,435,344,91
15,temeline,431,234,197
16,temelina,345,170,175
17,radioaktivni,344,136,208
18,jadernym,314,278,36
19,jadernymi,301,244,57
20,uradu,290,230,60
21,sujb,290,105,185
22,statniho,287,227,60
23,elektrarnu,274,199,75
24,statni,258,82,176
25,urad,258,82,176
26,httpforumczpodlezemanabysedanadrabovanemelaplestdojaderneenergetiky,219,49,170
27,nuklearni,191,122,69
28,zareni,166,156,10
29,odpady,164,8,156
30,jadernem,161,133,28
31,elektrarnach,140,114,26
32,httpsctceskatelevizeczekonomikadrabovarusovestavijaderneblokypomaluikdyzbezpecnedostavbadukovanse,130,128,2
33,odpadu,97,94,3
34,ionizujiciho,91,90,1
35,dukovansky,89,39,50
36,elektrarnami,72,64,8
37,odpad,72,55,17
38,cernobylu,67,62,5
39,havarie,60,55,5
40,ceske,59,49,10
41,dukovanska,59,27,32
42,havarii,55,45,10
43,elektrarnam,54,43,11
44,radioaktivniho,54,49,5
45,httpsctceskatelevizeczdomacizivotnostdukovansepodlebabisemohlaprodlouzitodesetletvyslonamiliard,52,21,31
46,ceskych,52,44,8
47,elektraren,49,42,7
48,radon,49,34,15
49,radiacni,48,43,5
50,cernobyl,48,43,5
51,httpsctceskatelevizeczsvetputinhrozievropemoznostijaderneodvetyprijmeliraketyusa,39,32,7
52,radioaktivnich,38,33,5
53,jaderni,38,26,12
54,temelinu,37,23,14
55,radioaktivity,35,27,8
56,httpszpravyidnesczputinraketyjadernaodvetaevroparuskousafnozahranicniaspxcazahranicniremy,35,25,10
57,httpswwwrespektczspolecnostnovakovahradstriktnetrvanastavbejadernychblokualemeneukoluje,34,33,1
