,word_text,word_count_zminka,word_count_zminka_rel,word_count_zminka_nerel,word_zminka_rank,word_zminka_rank_rel,word_zminka_rank_nerel
0,jaderne,1759,1651,108,1,1,3
1,jadernych,938,900,38,2,2,131
2,jadernou,850,807,43,3,3,101
3,usa,793,717,76,4,4,15
4,let,714,612,102,5,7,4
5,rt,698,657,41,6,5,111
6,elektrarny,667,647,20,7,6,501
7,rusko,664,607,57,8,8,47
8,dnes,501,412,89,9,13,9
9,jaderna,494,459,35,10,10,160
10,zbrane,492,478,14,11,9,913
11,putin,488,438,50,12,11,69
12,jaderny,475,416,59,13,12,42
13,nema,469,377,92,14,14,8
14,ruska,440,369,71,15,15,21
15,lidi,415,300,115,16,27,2
16,stejne,413,312,101,17,23,5
17,no,410,279,131,18,32,1
18,nebude,407,332,75,19,19,17
19,nikdo,399,306,93,20,25,6
20,nove,392,326,66,21,20,30
21,rusku,389,351,38,22,16,131
22,zemi,386,316,70,23,21,22
23,evrope,386,351,35,23,16,160
24,stat,358,304,54,25,26,54
25,bloku,354,340,14,26,18,913
26,pripade,351,283,68,27,31,26
27,roku,338,296,42,28,28,106
28,stale,337,272,65,29,36,32
29,cr,337,278,59,29,33,42
30,energie,334,308,26,31,24,302
31,vsechny,332,274,58,32,35,44
32,zeme,326,278,48,33,33,77
33,veci,322,260,62,34,37,37
34,elektraren,321,313,8,35,22,2491
35,navic,318,252,66,36,40,30
36,prvni,312,237,75,37,46,17
37,zbrani,311,284,27,38,30,277
38,opravdu,310,229,81,39,54,12
39,jaderneho,310,294,16,39,29,727
40,pouze,307,239,68,41,44,26
41,prave,307,240,67,41,42,28
42,vic,305,233,72,43,50,20
43,par,303,234,69,44,48,24
44,nato,302,256,46,45,38,84
45,nikdy,300,221,79,46,63,13
46,eu,299,248,51,47,41,65
47,meli,295,231,64,48,52,34
48,dobe,288,239,49,49,44,73
49,vse,286,234,52,50,48,60
50,zeman,283,200,83,51,70,10
51,velmi,282,229,53,52,54,57
52,nejaky,280,229,51,53,54,65
53,rakety,279,254,25,54,39,332
54,svete,277,228,49,55,57,73
55,problem,276,218,58,56,65,44
56,cele,270,227,43,57,59,101
57,statu,269,222,47,58,61,80
58,jasne,268,212,56,59,66,50
59,ruske,267,237,30,60,46,224
60,roce,266,227,39,61,59,122
61,valky,266,240,26,61,42,302
62,lide,265,202,63,63,69,36
63,uzemi,262,233,29,64,50,240
64,nejsou,260,210,50,65,67,69
65,rusove,258,228,30,66,57,224
66,at,258,181,77,66,79,14
67,drabova,257,228,29,68,57,240
68,valku,255,222,33,69,61,181
69,valka,254,221,33,70,63,181
70,vsech,241,197,44,71,71,96
71,vetsi,239,190,49,72,75,73
72,raket,233,206,27,73,68,277
73,nevim,228,162,66,74,94,30
74,statni,228,192,36,74,72,149
75,ruskem,226,191,35,76,74,160
76,nejvetsi,225,188,37,77,77,139
77,prezident,223,177,46,78,83,84
78,myslim,221,160,61,79,97,39
79,nejen,220,165,55,80,91,52
80,delat,215,158,57,81,100,47
81,rekl,213,166,47,82,88,80
82,smlouvy,212,185,27,83,78,277
83,jine,211,154,57,85,107,47
84,mela,211,166,45,85,88,90
85,fakt,211,147,64,85,124,34
86,teto,210,178,32,87,81,193
87,posledni,207,156,51,89,104,65
88,novych,207,192,15,89,72,809
89,ovsem,207,168,39,89,86,122
90,mozne,205,160,45,92,97,90
91,nyni,205,160,45,92,97,90
92,presne,205,149,56,92,119,50
93,dalsich,204,165,39,94,91,122
94,vlastni,203,157,46,96,102,84
95,sam,203,143,60,96,131,40
96,zdroje,203,189,14,96,76,913
97,elektriny,198,178,20,98,81,501
98,jadernym,197,179,18,99,80,605
99,sveta,197,171,26,99,85,302
100,svet,196,163,33,102,93,181
101,pan,196,120,76,102,185,15
102,kolem,196,152,44,102,112,96
103,letech,195,157,38,105,102,131
104,misto,195,144,51,105,128,65
105,evropy,195,165,30,105,91,224
106,da,195,146,49,105,126,73
107,velke,194,160,34,108,97,171
108,clovek,194,125,69,108,169,24
109,staci,192,147,45,110,124,90
110,penize,192,153,39,110,110,122
111,prezidenta,191,166,25,112,88,332
112,nuklearni,190,121,69,113,181,24
113,lepsi,189,129,60,114,158,40
114,strany,188,136,52,115,140,60
115,radioaktivni,186,133,53,116,148,57
116,ceske,185,158,27,117,100,277
117,jiste,185,150,35,117,116,160
118,vlada,184,161,23,119,95,391
119,rozdil,182,132,50,120,152,69
120,bloky,181,177,4,122,83,6130
121,mimo,181,150,31,122,116,207
122,valce,181,143,38,122,131,131
123,naopak,180,146,34,124,126,171
124,soucasne,180,154,26,124,107,302
125,nemuze,178,131,47,126,155,80
126,staty,178,153,25,126,110,332
127,podobne,177,143,34,128,131,171
128,skutecne,176,132,44,129,152,96
129,pane,176,125,51,129,169,65
130,predevsim,174,148,26,131,121,302
131,dela,174,126,48,131,165,77
132,jadro,173,153,20,133,110,501
133,melo,173,133,40,133,148,115
134,rika,172,117,55,135,203,52
135,cenu,171,134,37,137,144,139
136,nekolik,171,150,21,137,116,459
137,rok,171,142,29,137,134,240
138,cas,170,127,43,139,161,101
139,utok,170,147,23,139,124,391
140,nebudou,167,125,42,142,169,106
141,zadne,167,137,30,142,137,224
142,naprosto,167,121,46,142,181,84
143,trochu,166,116,50,146,207,69
144,hned,166,120,46,146,185,84
145,zareni,166,156,10,146,104,1614
146,rad,166,104,62,146,250,37
147,cely,166,132,34,146,152,171
148,zdroj,165,136,29,149,140,240
149,pomoci,165,126,39,149,165,122
150,oblasti,164,138,26,152,136,302
151,dlouho,164,111,53,152,226,57
152,energii,164,149,15,152,119,809
153,uhli,163,152,11,154,112,1363
154,miliard,163,148,15,154,121,809
155,dana,162,154,8,157,107,2491
156,tolik,162,119,43,157,190,101
157,bezpecnost,162,151,11,157,114,1363
158,zemana,162,137,25,157,137,332
159,jineho,161,125,36,160,169,149
160,cez,161,150,11,160,116,1363
161,vlady,160,124,36,162,172,149
162,mysli,159,119,40,163,190,115
163,nebylo,158,122,36,164,177,149
164,stoji,157,134,23,166,144,391
165,rusky,157,126,31,166,165,207
166,pritom,157,127,30,166,161,224
167,postavit,156,134,22,168,144,424
168,pise,154,122,32,170,177,193
169,novy,154,118,36,170,198,149
170,prece,154,117,37,170,203,139
171,napriklad,153,134,19,173,144,546
172,vi,153,115,38,173,213,131
173,cim,153,114,39,173,217,122
174,nekdy,153,114,39,173,217,122
175,udelat,152,121,31,176,181,207
176,pry,151,118,33,177,198,181
177,hrozi,150,143,7,179,131,3140
178,americke,150,134,16,179,144,727
179,celou,150,119,31,179,190,207
180,putina,149,121,28,183,181,257
181,americkych,149,132,17,183,152,666
182,vcetne,149,116,33,183,207,181
183,slova,149,123,26,183,173,302
184,noveho,149,118,31,183,198,207
185,zivot,148,116,32,186,207,193
186,nasledne,147,140,7,187,135,3140
187,nemecku,147,122,25,187,177,332
188,dukovany,146,144,2,191,128,10331
189,nejlepsi,146,113,33,191,219,181
190,nejde,146,109,37,191,231,139
191,bychom,146,128,18,191,159,605
192,deti,146,103,43,191,253,101
193,nakonec,145,113,32,196,219,193
194,system,145,108,37,196,234,139
195,mnohem,145,110,35,196,229,160
196,praci,145,118,27,196,198,277
197,rozhodne,145,122,23,196,177,391
198,snazi,144,105,39,199,246,122
199,situace,144,112,32,199,222,193
200,tuto,143,111,32,201,226,193
201,jadernymi,143,134,9,201,144,1924
202,zdroju,142,123,19,204,173,546
203,clanek,142,111,31,204,226,207
204,pani,142,90,52,204,325,60
205,dobu,141,115,26,207,213,302
206,svem,141,112,29,207,222,240
207,mnozstvi,141,102,39,207,256,122
208,doslo,141,108,33,207,234,181
209,doletu,140,122,18,211,177,605
210,prace,140,94,46,211,296,84
211,pravda,140,98,42,211,277,106
212,energetiky,139,136,3,216,140,7493
213,evropa,139,118,21,216,198,459
214,vyssi,139,108,31,216,234,207
215,stavet,139,131,8,216,155,2491
216,clanku,139,115,24,216,213,361
217,moznost,139,104,35,216,250,160
218,politiku,139,111,28,216,226,257
219,ruskych,138,119,19,222,190,546
220,chtel,138,94,44,222,296,96
221,znamena,138,112,26,222,222,302
222,rozhodnuti,138,108,30,222,234,224
223,reaktoru,138,127,11,222,161,1363
224,mnoho,137,100,37,225,265,139
225,cast,137,102,35,225,256,160
226,zadny,136,114,22,228,217,424
227,vladimir,136,119,17,228,190,666
228,znovu,136,94,42,228,296,106
229,davno,136,106,30,228,243,224
230,potreba,135,104,31,232,250,207
231,vystavbu,135,130,5,232,157,5101
232,vetsina,135,110,25,232,229,332
233,sami,135,94,41,232,296,111
234,vazne,134,89,45,238,332,90
235,milionu,134,102,32,238,256,193
236,moznosti,134,118,16,238,198,727
237,tem,134,95,39,238,288,122
238,prijde,134,94,40,238,296,115
239,stredniho,134,116,18,238,207,605
240,jiny,134,98,36,238,277,149
241,druhe,133,101,32,244,260,193
242,trump,133,119,14,244,190,913
243,jednu,133,107,26,244,239,302
244,temelin,133,127,6,244,161,4065
245,rijna,133,116,17,244,207,666
246,situaci,132,107,25,249,239,332
247,informace,132,99,33,249,270,181
248,odvetou,132,132,0,249,152,49779
249,re,132,87,45,249,347,90
250,ramci,132,90,42,249,325,106
251,elektrarnu,131,125,6,253,169,4065
252,cena,131,116,15,253,207,809
253,mohli,131,98,33,253,277,181
254,oboru,130,115,15,257,213,809
255,plynu,130,115,15,257,213,809
256,doby,130,99,31,257,270,207
257,cina,130,119,11,257,190,1363
258,sssr,130,112,18,257,222,605
259,babis,129,75,54,261,433,54
260,rekne,129,119,10,261,190,1614
261,jedine,129,97,32,261,283,193
262,zrovna,128,87,41,265,347,111
263,zrejme,128,106,22,265,243,424
264,oze,128,107,21,265,239,459
265,pana,128,98,30,265,277,224
266,radeji,128,86,42,265,355,106
267,svym,128,92,36,265,310,149
268,pravdu,127,86,41,270,355,111
269,velky,127,99,28,270,270,257
270,bud,127,102,25,270,256,332
271,nemecko,126,102,24,274,256,361
272,vec,126,94,32,274,296,193
273,nejakou,126,97,29,274,283,240
274,plest,126,118,8,274,198,2491
275,jaky,126,90,36,274,325,149
276,dnesni,126,90,36,274,325,149
277,duvod,125,88,37,279,339,139
278,spolecnosti,125,94,31,279,296,207
279,rosatom,125,120,5,279,185,5101
280,otazka,125,100,25,279,265,332
281,nejsem,124,72,52,284,462,60
282,stalo,124,94,30,284,296,224
283,mene,124,94,30,284,296,224
284,zadna,124,98,26,284,277,302
285,spis,124,88,36,284,339,149
286,muzeme,124,104,20,284,250,501
287,konecne,123,87,36,289,347,149
288,celkem,123,98,25,289,277,332
289,roky,123,93,30,289,304,224
290,sem,123,79,44,289,396,96
291,vojenske,122,93,29,294,304,240
292,prakticky,122,93,29,294,304,240
293,reseni,122,100,22,294,265,424
294,spatne,122,83,39,294,368,122
295,fyzika,122,107,15,294,239,809
296,primo,120,100,20,297,265,501
297,firmy,120,99,21,297,270,459
298,duvodu,119,91,28,300,318,257
299,jadra,119,108,11,300,234,1363
300,elektrarna,119,117,2,300,203,10331
301,americane,118,98,20,304,277,501
302,velka,118,92,26,304,310,302
303,videt,118,96,22,304,286,424
304,mohla,118,91,27,304,318,277
305,klidne,118,91,27,304,318,277
306,nasich,117,99,18,308,270,605
307,vsem,117,83,34,308,368,171
308,neustale,117,96,21,308,286,459
309,svetove,116,84,32,310,364,193
310,dostavbu,115,108,7,312,234,3140
311,zahranici,115,81,34,312,381,171
312,moci,115,87,28,312,347,257
313,systemu,115,81,34,312,381,171
314,tvrdi,114,87,27,317,347,277
315,muset,114,96,18,317,286,605
316,okoli,114,92,22,317,310,424
317,lety,114,86,28,317,355,257
318,mimochodem,114,95,19,317,288,546
319,typu,113,90,23,321,325,391
320,spravne,113,80,33,321,388,181
321,dvou,113,82,31,321,375,207
322,ziskala,112,101,11,323,260,1363
323,technologie,111,101,10,324,260,1614
324,utoku,110,98,12,327,277,1179
325,souhlasim,110,86,24,327,355,361
326,vzhledem,110,91,19,327,318,546
327,blok,110,91,19,327,318,546
328,pote,110,85,25,327,360,332
329,nechce,109,78,31,331,407,207
330,senat,109,16,93,331,3019,6
331,informaci,109,91,18,331,318,605
332,ceny,109,85,24,331,360,361
333,cesta,108,78,30,337,407,224
334,temer,108,88,20,337,339,501
335,zbranemi,108,94,14,337,296,913
336,americky,108,91,17,337,318,666
337,smysl,108,87,21,337,347,459
338,podstate,108,88,20,337,339,501
339,nemecka,108,94,14,337,296,913
340,cela,107,79,28,345,396,257
341,vystudovala,107,105,2,345,246,10331
342,fakultu,107,106,1,345,243,20221
343,napsal,107,73,34,345,451,171
344,elektrinu,107,100,7,345,265,3140
345,fyzikalne,107,106,1,345,243,20221
346,volby,107,43,64,345,952,34
347,rychle,107,82,25,345,375,332
348,vedeni,107,81,26,345,381,302
349,smlouvu,106,91,15,350,318,809
350,domu,105,76,29,354,425,240
351,stranu,105,73,32,354,451,193
352,odpadu,105,101,4,354,260,6130
353,horsi,105,82,23,354,375,391
354,mezinarodni,105,89,16,354,332,727
355,slo,105,78,27,354,407,277
356,hlavni,105,83,22,354,368,424
357,inzenyrskou,104,104,0,360,250,49779
358,nazor,104,81,23,360,381,391
359,vim,104,73,31,360,451,207
360,ciny,104,92,12,360,310,1179
361,tema,104,78,26,360,407,302
362,vsude,104,75,29,360,433,240
363,zacit,103,88,15,368,339,809
364,viz,103,79,24,368,396,361
365,mohlo,103,91,12,368,318,1179
366,chvili,103,75,28,368,433,257
367,dostal,103,55,48,368,680,77
368,cloveka,103,79,24,368,396,361
369,vody,103,65,38,368,535,131
370,politiky,103,77,26,368,417,302
371,druhou,103,78,25,368,407,332
372,muzete,102,76,26,374,425,302
373,zapad,102,81,21,374,381,459
374,casto,102,67,35,374,511,160
375,prumyslu,102,94,8,374,296,2491
376,odstoupeni,101,87,14,379,347,913
377,takto,101,66,35,379,521,160
378,ceska,101,85,16,379,360,727
379,senatu,101,19,82,379,2518,11
380,konec,101,76,25,379,425,332
381,presto,100,77,23,385,417,391
382,sankce,100,82,18,385,375,605
383,nutne,100,78,22,385,407,424
384,delaji,100,78,22,385,407,424
385,cvut,100,98,2,385,277,10331
386,vede,100,74,26,385,442,302
387,hodin,100,77,23,385,417,391
388,republiky,99,73,26,392,451,302
389,plne,99,87,12,392,347,1179
390,problemy,99,88,11,392,339,1363
391,boji,99,77,22,392,417,424
392,chteli,99,65,34,392,535,171
393,vyroby,99,75,24,392,433,361
394,zpusobem,99,79,20,392,396,501
395,dohody,98,71,27,400,474,277
396,lepe,98,71,27,400,474,277
397,vypada,98,61,37,400,593,139
398,stoleti,98,72,26,400,462,302
399,nejvyssi,98,80,18,400,388,605
400,ohledne,98,77,21,400,417,459
401,skutecnosti,98,83,15,400,368,809
402,sobe,98,69,29,400,492,240
403,zmrd,98,92,6,400,310,4065
