,Frequency
ods,61903
kole,47345
voleb,36967
senatu,36145
senatorem,34677
senatnich,31640
porazil,29058
volby,26698
procenta,26225
stal,25179
druhem,24921
prvnim,21151
horni,21029
hlasu,20841
kreslo,19611
podle,19213
jako,19145
kducsl,18517
kandidatu,17567
cssd,17562
obvodu,17427
volebni,16986
predseda,16403
top,15170
komore,15121
stan,14742
kandidat,14128
uchazelo,13981
senatni,13599
nebude,13364
strany,13270
babis,13201
hnuti,13181
parlamentni,13137
rekl,12985
finale,12941
ucast,12830
volicu,12471
starosta,12435
ziskal,12335
volbach,12205
pavel,12077
nwelati,11918
novym,11571
letos,11257
kubera,11251
sobotu,11024
byvaly,10746
uvedl,10687
vysledek,10566
senatora,10373
dosavadni,9510
praze,9499
mandat,9462
jan,9084
belobradek,8881
senat,8701
fischer,8627
primator,8592
post,8560
senator,8519
jiri,8513
komory,8283
cervicek,8250
tim,8238
jaderne,8233
zvitezil,8007
hermana,7780
strana,7779
volbam,7761
obhajil,7758
okrsku,7716
letech,7678
dnes,7670
posledni,7570
jaroslav,7537
dalsich,7443
dostal,7398
prezident,7301
vede,7181
zeman,7167
tiskove,7166
konferenci,7086
predsedu,7080
roce,7075
kolem,7065
prvni,7060
tecl,6987
hilser,6900
bloku,6811
mistnosti,6779
jadernych,6417
scitani,6369
senatorske,6355
vysledky,6092
chalankova,5891
klub,5769
celkem,5701
uspel,5614
volebnich,5606
misto,5572
chlupac,5564
ostravak,5554
sulovsky,5551
stejne,5525
milos,5519
vystrcil,5493
historii,5417
klubu,5408
nejmene,5378
vsem,5330
system,5312
pavla,5255
rozhovoru,5189
belobradka,5143
prahu,5134
kterou,5108
csu,5096
volici,5092
demokratu,5075
napriklad,5001
zaroven,4968
ceske,4951
naopak,4946
korun,4860
bek,4800
pavera,4795
senatorsky,4789
nejsilnejsi,4775
stran,4752
toho,4688
jasne,4683
piraty,4626
martin,4594
ctk,4564
navic,4542
elektrarny,4535
letosnich,4519
prislo,4504
byvala,4485
poslankyne,4471
stat,4433
socialni,4432
roku,4423
lidi,4404
zastupce,4403
zvoleno,4394
marek,4377
primatorem,4371
nachodsku,4338
prezidentsky,4331
dlouhodobe,4330
prostejovsku,4327
kuncar,4323
mandaty,4319
nezavisly,4302
zakova,4297
raduan,4294
kostial,4293
hraba,4293
pouze,4290
hodiny,4263
znamy,4187
starostu,4186
mizerne,4183
dukovany,4179
senatory,4178
funkci,4155
poprve,4081
vedou,4080
vsechny,4075
let,4065
rozhodnuti,4044
pri,4034
prijde,4024
statu,4007
podporou,3997
nezavisli,3985
sdelil,3977
senatniho,3970
volit,3934
miroslav,3932
byvaleho,3931
prisli,3928
nyni,3921
jiriho,3902
dosavadniho,3889
demokrate,3882
svou,3875
vladni,3869
vsak,3850
daniela,3848
vsech,3839
obdrzel,3838
zapis,3819
kandidatum,3818
porazi,3817
chrudimsku,3813
polepsi,3796
stale,3786
jiz,3783
predsedy,3687
coz,3685
adamek,3680
senatoru,3669
bloky,3663
stala,3659
svem,3638
mu,3594
ladislav,3591
jedinym,3586
nekdejsi,3552
kandidatem,3532
ziskat,3525
noveho,3520
podnikatel,3519
elektriny,3491
dobe,3489
opet,3478
problem,3474
cela,3442
rekla,3411
vyvoj,3411
zadny,3405
zhruba,3357
andrej,3343
rusko,3329
kscm,3324
zdroju,3311
ci,3293
obcanskych,3291
ministra,3268
hlavne,3257
situace,3226
novych,3224
oba,3181
zastupitel,3179
vysledkem,3172
policejni,3164
procent,3160
dostali,3152
solidni,3131
rektor,3128
ziskali,3121
dodal,3112
jitka,3097
cestu,3083
duveru,3083
karvinsku,3082
zdenka,3069
lukas,3064
sjezdu,3061
mohla,3056
mikulas,3053
faktor,3052
herbert,3051
brodu,3051
vitezem,3047
sebe,3042
vice,3040
starostove,3035
lidovcu,3033
diplomat,3030
wagenknecht,3028
milionu,3026
neuspesny,3026
uchazel,3025
balatka,3024
karpisek,3022
horolezec,3022
rostislav,3022
teplicky,3021
jednoho,3021
leopold,3015
ceskeho,3009
usa,3005
nichz,2986
volebnim,2981
zduraznil,2968
pravdepodobne,2964
clovek,2963
patri,2959
sefem,2952
pozornost,2946
letosniho,2930
roky,2922
mene,2902
ohledu,2897
pan,2886
dvoukolovy,2870
komunistu,2851
zacne,2837
reditele,2836
pondeli,2821
druhy,2818
patek,2808
brne,2796
sefa,2791
ceka,2790
vysledku,2788
prubezne,2786
nejnizsi,2783
druhou,2769
nejvice,2764
kandidati,2762
namestek,2757
nadale,2755
podporila,2741
zvoleni,2735
jadernou,2734
pripade,2733
nebudu,2733
melo,2723
vzdycky,2723
propadly,2712
dlouhou,2712
zahranici,2707
zpet,2705
kultury,2698
prispevku,2696
clenu,2693
mori,2692
zadneho,2692
prijdou,2682
secteni,2677
takze,2666
minut,2661
miliony,2657
zen,2648
blok,2647
sobotnim,2643
moznosti,2643
mistopredseda,2640
ctyrech,2625
nekandiduje,2620
velmi,2618
jare,2614
twitteru,2608
dnesnim,2606
teplicich,2604
echo,2603
hamacek,2602
neumime,2601
vybor,2596
senatorskeho,2596
dostalo,2583
zvitezi,2582
porazila,2581
volicum,2579
facebooku,2578
sile,2578
nevidi,2577
podekoval,2575
trat,2561
reditel,2558
tydnem,2557
dopadly,2553
vyjednavani,2553
odletel,2553
potreboval,2551
nesel,2551
kandidaty,2551
palce,2550
mladou,2550
beh,2549
secteno,2548
vlastni,2548
drzela,2547
nachode,2546
boleslav,2544
zaostali,2544
brabec,2544
